2,count
SIGUENZA,926
CARRERA,926
GALLEGUILLOS,924
ANABALON,918
GRANDON,914
VERDUGO,907
ZAVALA,907
SOBARZO,904
IBAÑEZ,898
BARRIENTOS,897
ISLA,897
BARAHONA,892
BENAVIDES,891
IBACETA,885
RIASCOS,884
COLLAO,884
CARTES,876
PASTEN,872
ECHEVERRIA,868
ARROYO,866
OTAROLA,863
MONTENEGRO,860
BASTIAS,860
LEAL,860
ABACACHE,860
VIDELA,858
URBINA,858
BARRAZA,854
VARAS,843
MANSILLA,842
ARANEDA,836
NAHUELPI,831
BRITO,819
MONSALVE,819
VICENCIO,815
MATAMALA,813
HEREDIA,806
DOMINGUEZ,798
BAEZ,795
CARMONA,790
MONTECINOS,785
ROMO,784
RIVADENEIRA,781
ALCAINO,779
GOLDEMBERG,775
ARREDONDO,771
HUEQUEMAN,756
CARCAMO,752
PUEBLA,746
CEBALLOS,742
LLANCALEO,741
OVALLE,739
ROA,738
VILLABLANCA,734
NOVOA,734
ARGOMEDO,733
MALLEA,732
NARANJO,729
AVILES,724
CHANDIA,723
RIGO,723
CORONADO,714
MANZO,712
CASANOVA,709
OSSANDON,708
MERIÑO,706
LOYOLA,705
ARRAÑO,705
MIÑO,703
PRADO,697
FARFAN,694
OLAVE,692
MONTOYA,692
ROCHA,691
PULGAR,691
ZARATE,691
CADENAS,690
VILLAGRAN,685
OBREQUE,682
VALLE,680
AEDO,679
MOSCOSO,677
BODALEO,669
CHAVARRIA,667
ORDENES,665
ALLENDES,663
RIVERO,662
VEJAR,660
SANTIS,659
LANDEROS,655
ALEGRIA,654
SANTOS,653
PAUL,652
SALVO,651
MERINO,651
MATUS,647
PLACENCIO,641
TAMAYO,641
ALLENDE,640
ESPINA,638
ARAOS,637
ORREGO,637
QUINTEROS,637
RIFFO,634
QUILODRAN,626
VILLAVICENCIO,626
ALIAGA,624
CAYUQUEO,624
POZAS,623
HUINCA,622
ZURITA,619
URETA,619
LUNA,617
GARAY,616
ERICES,615
ORMEÑO,612
BUGUEÑO,611
PIÑA,610
BARROS,609
ABRIGO,607
OLIVA,603
PEÑALOZA,603
BACHO,602
BREVIS,602
MELO,602
TEMPINI,599
OLATE,598
MILLAR,596
MELIMAN,595
CARTAGENA,591
BRUNA,587
BOUFFANAIS,583
JAQUE,583
CAJAS,580
PEREDO,575
MORAN,562
LILLO,558
QUIJADA,558
PINILLA,557
CUBILLOS,555
GALDAMES,549
NAHUELHUEN,548
ALMONACID,548
JUAN,548
CONSTANZO,547
AMIGO,547
TEJO,546
TIRADO,545
UGARTE,541
PRADENAS,541
CARTER,540
BORQUEZ,539
LLANCAPAN,539
ROZAS,538
HUG,536
POZO,536
BENJUMENA,536
FICA,532
VARELA,531
FERREIRA,528
QUIÑONES,526
QUIROGA,524
LIZANA,520
MAXY,517
CHACON,517
CALFIN,513
LETELIER,513
COÑA,512
NARVAEZ,510
BERMUDEZ,509
LIEN,506
MILIEN,502
CHAMORRO,501
LEVIPIL,499
LOAYZA,497
PIMENTEL,494
SALAMANCA,494
DEVIA,491
PEÑAILILLO,491
LINARES,488
LABRIN,488
OROZCO,485
MADARIAGA,484
CATALDO,484
WATHRICH,483
SAGREDO,483
LABBE,483
DROGUETT,483
HINOJOSA,482
GALLEGO,482
DAZA,480
LOZADA,480
CARILAO,480
QUINTERO,477
ORTIZAGA,475
LAGUNAS,474
JUNOY,473
COLIQUEO,472
ZUMELZU,471
MELENDEZ,470
ITURRA,467
SEREY,466
POLANCO,465
JEAN,465
PIÑEIRO,464
LEMPI,464
IBACACHE,463
PIERRE,460
VELASCO,460
BELMAR,460
PAINEMIL,458
ESPARZA,457
REBECO,456
GRILLET,455
LOUIS,455
NEGRETE,451
