1,count
VERDEJO,924
ARMIJO,919
ORMEÑO,919
MONTENEGRO,915
PINCHEIRA,915
POLANCO,913
JEAN,913
LLANOS,909
LAZO,908
AZOCAR,906
LIRA,905
CARMONA,904
VIVEROS,898
OYARZUN,898
PARRAGUEZ,898
LORCA,891
NARANJO,890
ENCINA,889
VICENCIO,885
LLANCAO,883
VARELA,881
LAZCANO,878
NORAMBUENA,874
PEÑALOZA,872
PEREIRA,871
URETA,869
PADILLA,866
GALLEGUILLOS,862
VALDERRAMA,861
BENITEZ,856
JARAMILLO,852
ALCAINO,845
ORDENES,844
LILLO,843
MATELUNA,841
BERNAL,840
VILLA,837
CALFIQUEO,825
MAUREIRA,820
CARRERA,819
ROCCO,819
MONSALVE,817
RIFFO,816
OVALLE,812
MAGAÑA,809
LLANCAVIL,808
ARRIAZA,805
CORVALAN,801
OYALA,798
PAEZ,796
MONTERO,795
CERON,794
QUINTANILLA,790
BARRIOS,789
ALTAMIRANO,787
SARAVIA,785
MADRID,784
VARAS,779
VILCHEZ,774
CHAMORRO,764
BARRIGA,762
RECABARREN,759
GALDAMES,758
QUIJADA,751
JAQUE,751
ACOSTA,749
JOFRE,748
TRUREO,741
ANTINAO,739
AVALOS,739
TELLO,736
VALERIANO,729
SEGUEL,726
BREVIS,726
VILLARROEL,719
OJEDA,718
LETELIER,713
MAULEN,709
CASTAÑEDA,708
ALBIAL,708
HADDER,707
CHEPO,697
ROSALES,696
ARCOS,694
AGURTO,692
PINEDA,689
CESPEDES,689
CARTES,687
AEDO,686
CANTALLOPTS,683
TAMAYO,682
ROBLEDO,678
ALCORTA,676
OYARCE,675
REVECO,672
NERIS,671
BRICEÑO,668
PALOMINOS,666
OYOLA,661
ROLDAN,660
ROZAS,658
AMESTICA,657
LUISA,657
GORDILLO,648
IRRAZABAL,647
MACHUCA,646
VALENTIN,645
ALLENDE,644
CADIZ,640
ARELLANO,638
SALDAÑA,637
FRANCO,636
OTAROLA,636
VIVANCO,635
BELLO,633
LOAIZA,632
ÑANCUPIL,631
ORMAZABAL,631
NEGRETE,630
GALARCE,630
ORDOÑEZ,629
ESCOBEDO,627
SANTANA,626
ZENTENO,626
NARVAEZ,624
CUBILLOS,621
BECKER,617
ALMONACID,614
OÑATE,613
ELGUETA,609
GARAY,607
COLLIO,606
ITURRA,604
CELIS,602
LLANCAPAN,597
HUENCHUAL,596
VILLAGRA,593
URTUBIA,593
DROGUETT,588
LAPORTE,584
MORAN,584
LIZANA,581
ESCALONA,577
BARRUETO,577
SALAMANCA,576
SOBARZO,575
TORIBIO,573
GRANDON,572
MOREIRA,571
OPAZO,568
TOUSSAINT,567
PUGA,566
VILLAGRAN,558
MARIQUEO,558
EGAÑA,553
BROGI,551
VELA,550
TRUJILLO,549
ALLENDES,549
ANTILLANCA,549
BIZAMA,548
CABEZA,548
ALVEAR,541
LEYTON,541
AGUILA,539
LUCERO,539
TIGREROS,536
CLAUDIA,536
AREYUNA,536
LARRAIN,534
ROSAS,534
MONTES,533
IBACETA,533
UBEDA,532
ANTILEF,531
PINILLA,529
MORIS,527
ZURITA,525
MEDEL,524
STEWART,520
PIÑEIRA,519
MAXY,517
BOUFFENAIS,515
BASCOURT,511
MARINAO,510
SEGURA,508
GARNICA,506
OBREQUE,506
SARMIENTO,505
MELIPAN,503
PEZOA,502
BRUNA,502
DAZA,502
LUNA,499
PUEBLA,497
FARFAN,496
PRADO,494
MARABOLI,494
ESPARZA,493
CATALDO,492
ESTAY,489
ALDAY,489
TREJO,487
SALDIVIA,482
QUIÑILEN,481
QUIÑONES,480
CASANOVA,479
NECUL,479
MILLANAO,479
ABURTO,476
VALVERDE,475
CAMUS,474
ANCAMIL,473
ARREDONDO,472
SALVO,470
BANDA,470
GARATE,468
BASUALTO,467
ARROYO,467
ISLA,466
CARRIZO,465
NEUTULPAN,464
MONDON,463
OCHOA,461
LUENGO,460
GALINDO,456
APARICIO,456
HURTADO,456
HUENCHUN,455
SAGREDO,453
PAINEMAL,451
CRUCES,450
OLIVA,450
PIERRE,450
FIERRO,449
ORREGO,448
ARAOS,448
QUILODRAN,447
URREA,444
BLANCO,444
CEBALLOS,443
SOZA,440
LUCAVECHE,440
PULGAR,439
LATORRE,437
LABBE,437
QUILAQUEO,437
QUEMAYA,434
ZARATE,433
LOAYZA,433
OLMOS,432
BIAVA,431
MILLAPAN,430
ORTUZAR,430
SUZARTE,429
LABRAÑA,426
BASCUR,420
COÑOEPAN,418
MOGOLLON,409
PARANCAN,408
APABLAZA,407
APPELGREN,407
LAVIN,406
DAINE,406
MERCADO,405
URBANO,404
JAÑA,404
AVELLO,404
DINAMARCA,403
ANABALON,403
AROS,403
RAMBAY,403
VEAS,403
CANTO,398
LEVIN,397
DAVILA,396
MONSALVES,395
CARTAGENA,392
OLIVEROS,392
APPLEGREN,391
ASCENCIO,391
BALCAZAR,388
PAREDERO,385
MOSCOSO,385
MARIHUAN,384
CORDOBA,383
MANZANO,382
BERMUDEZ,381
PALOMERA,381
GUIÑEZ,381
VILLALON,380
URDANETA,378
CHI,377
HERRADA,377
BELMAR,376
MALLEA,376
NAHUEL,374
ZELADA,373
PERUCCI,372
FREDES,371
PASTEN,369
ARANA,369
AILLAPAN,368
LUCK,368
MULATO,367
YEVENES,366
UMAÑA,366
ZAVALA,361
FECCI,360
DUQUE,358
LABARCA,358
ESPAÑA,358
QUINTUPIL,358
BARRALES,358
CANO,355
CATRILAO,354
LABRIN,352
LARENAS,352
MACHAO,352
BARROS,351
FAJARDO,351
PANGUINAO,351
MACIAS,350
EPUL,350
ALMARZA,348
ASTETE,348
SANTIAGO,348
SIMISTERRA,346
VILLAR,345
FONSECA,345
SANTELICES,344
MARTIN,342
ANTIVILO,342
MESIAS,342
ARANGU,341
GUEVARA,339
ALOCILLA,339
MANSILLA,337
SINISTERRA,337
PRISSINGG,337
GIL,335
OLMEDO,334
ABALLAI,333
ZEPEDA,332
HUICHACURA,331
SANZANA,330
LECAROS,330
CRIOLLO,330
GREZ,329
QUIÑALON,328
OCAMPO,326
CERECEDA,326
NARCIZO,323
BAJARA,323
PALOMO,323
OCARANZA,322
ASENCIO,322
ROMO,321
MERIÑO,320
ARZOLA,320
HIGUERA,320
OROBIO,319
PEÑAILILLO,318
MONTOYA,318
PAILAHUEQUE,316
CABAÑA,315
GRIÑEN,314
TARRAZA,314
CHACANO,313
ARTEAGA,312
FREZ,312
NAHUELHUAL,312
GUARDIA,311
PAILLACAN,310
LIBERONA,310
ESTRADA,309
CASANGA,308
OLATE,308
HERNAN,308
PIUTRIN,308
VILLAVICENCIO,307
REYNA,307
VELOZO,305
LLARO,305
MURRUGARRA,305
SIERRA,305
OYARZO,304
CURIQUEO,302
LAMATTA,301
MAMANI,301
JOSEPH,301
OPORTO,300
MERA,299
SANTOS,299
MILLAN,299
UGALDE,299
RIVERO,298
ABALLAY,298
IBACACHE,297
GUITARD,295
HUICHAQUEO,295
BATISTA,294
CEGARRA,294
MILLAQUEO,292
PARRAGUIRRE,291
CARLOS,290
LLANCA,290
MEJIA,289
ALCANTARA,289
PEDRAZA,288
GAC,287
COLOMA,287
ITURRIETA,286
ITURRES,286
CONSTANZO,285
CALLEJA,284
CARVALLO,284
MANQUIAN,284
SEVERINO,283
ADASME,283
VIEYTES,283
MILLALEN,282
HUENTECURA,282
BUENDIA,282
ACEITUNO,281
ESEME,281
SANABRIA,280
ANCAPICHUN,280
HUIRCAN,280
SAZO,279
SEREY,278
PAILLAL,278
ASTROGA,276
PRIETO,276
CAMACHO,275
COLIHUINCA,275
LANDEROS,275
FABRES,275
ZABALA,274
NARZA,274
NITSCHKE,273
QUEVEDO,273
BACILO,273
COMPERE,272
ZAY,271
PEDREROS,269
MENARES,268
CARIZ,268
PRADENAS,268
ANTONUCCI,267
BOLIVAR,266
FONTEALBA,266
BUZETA,265
OYANEDEL,265
MADARIAGA,265
ÑIRRIL,265
DECIR,265
DUEIN,262
QUINTUMAN,262
ANDRADES,261
OVIEDO,261
GACITUA,260
RANGEL,260
MARICAN,259
MIÑO,259
ÑIRRIAN,258
VELASCO,256
AMTHAUER,254
ERICES,254
TOLOSA,253
OSORES,253
LABRA,252
URRIOLA,252
CARDOSO,251
GUAIQUIMILLA,251
BERGUÑO,250
PORMA,249
SALVATIERRA,248
MONSERRATE,248
FINSCHI,248
SOTELO,247
BOSCAN,247
MELO,246
INZUNZA,246
OLEA,246
NILO,246
OLIVOS,246
FILUN,245
SALFATE,245
ROSA,243
